id_nasabah,nama,pekerjaan,pendapatan,umur,pendapatan,saldo_tab,saldo_giro,saldo_deposito,kol_1,kol_2,kol_3,kol_4,kol_5,atm_trx,atm_nom,mobile_trx,mobile_nom,internet_trx,internet_nom,edc_trx,edc_nom,rtgs_trx,rtgs_nom,sknbi_trx,sknbi_nom,bifast_trx,bifast_nom,qris_trx,qris_nom,senti_neg,senti_positif,senti_netral,jml_like_1,jml_like_2,jml_like_3,jml_like_4,jml_like_5,jml_like_6,jml_like_7,jml_like_8,jml_like_9,jml_like_10,label
1,PxYRB,JAKSA AGUNG,1,26,1,2190000,710000,4240000,8,4,0,0,0,1991,517921160,545,1742706550,1177,2367724695,1585,1990113696,536,1511861855,374,936091887,2038,40453716,1640,1142960257,31,62,19,1,87,57,72,66,34,84,54,25,18,Moderate
2,zGZUP,PERUSAHAAN PEMERINTAH,4,21,4,2500000,1310000,2410000,6,3,3,0,0,2376,1213006829,2406,1214276011,1285,1354321147,776,696351981,1594,1323433597,454,873107844,2437,969815645,548,2978755239,100,82,64,63,1,70,74,25,14,78,50,80,49,Moderate
3,DljSB,PEDAGANG,4,20,4,3100000,1270000,850000,0,0,0,0,0,2323,2838228639,390,331701073,283,1671614366,1354,1210227016,1332,458693204,2352,2876095099,920,788160811,2053,25981444,78,43,15,54,99,10,85,68,9,43,1,21,100,Not Potential
4,ehbkA,PEGAWAI MONER CHANGER,6,28,6,3510000,2140000,5260000,0,0,0,0,0,1385,1012527320,1932,1063119264,1629,424845555,1820,268321029,1016,506256254,1435,2770265103,2158,400845549,1174,2744122086,84,10,17,43,75,6,76,2,91,73,55,98,78,Not Potential
5,xjjrO,PEGAWAI BI/BUMN/BUMD(PENSIUN),5,15,5,4730000,570000,4750000,0,0,0,0,0,616,1273775698,555,2364255749,741,2587590876,2175,576452980,2040,2127138251,340,266962629,2287,1869531466,2407,2906587030,78,52,72,84,98,55,17,37,76,81,89,78,91,Not Potential
6,IFtPl,PROFESIONAL & KONSULTAN,2,36,2,1790000,240000,9820000,6,5,1,0,0,797,782077435,2441,183951640,1272,1765091194,747,1573677571,257,2133641549,540,2314793114,1662,395894012,394,201769434,5,65,39,3,39,80,22,72,58,50,17,41,51,Moderate
7,srBvG,PEGAWAI MONER CHANGER,4,9,4,2960000,3740000,7870000,6,3,2,1,0,1903,2690337821,2315,253544592,995,1079169011,495,2476826965,1488,148244393,768,1267244895,547,1021450071,1667,1385131278,70,67,7,43,56,29,48,64,14,87,38,100,65,Moderate
8,PXTUC,IBU RUMAH TANGGA,1,26,1,4220000,1870000,3610000,0,0,0,0,0,1467,426086722,1717,134598253,1822,1951815759,2200,2354344020,2297,2522182926,1984,525260811,137,317463919,939,1619918434,9,22,30,86,2,81,68,1,57,76,65,49,40,Not Potential
9,saXAp,PROFESIONAL & KONSULTAN,6,18,6,1360000,3880000,7230000,6,3,2,1,0,735,512747501,762,2260968994,1036,2531940744,1714,2737518800,944,684367443,2266,2346365344,316,2804836910,629,1736174863,55,71,13,36,16,91,33,48,77,25,48,58,62,Moderate
10,cJNTz,PENGURUS PARPOL,6,36,6,4760000,2420000,6520000,0,0,0,0,0,1028,727935874,1176,685381819,1532,1009818289,1119,188374666,2127,2110367993,1815,2004604646,1520,667136355,2339,714695831,53,92,37,11,17,39,34,39,16,94,15,72,96,Not Potential
