id_AO,nama,masa_kerja,range_pendapatan,kol1,nom_kol1,kol2,nom_kol2,kol3,nom_kol3,kol4,nom_kol4,kol5,nom_kol5,senti_neg,senti_positif,senti_netral,jml_like_1,jml_like_2,jml_like_3,jml_like_4,jml_like_5,jml_like_6,jml_like_7,jml_like_8,jml_like_9,jml_like_10
1,cyoRr,1,3,53,530000000,35,350000000,8,80000000,4,40000000,0,0,33,52,95,97,75,64,79,81,41,47,2,67,59
2,cRxLQ,1,3,40,400000000,39,390000000,16,160000000,4,40000000,1,10000000,95,81,97,87,68,53,82,30,63,83,81,16,0
3,rLBIB,4,1,41,410000000,31,310000000,28,280000000,0,0,0,0,79,85,27,76,88,28,42,5,5,97,90,69,35
4,VgeiC,2,2,43,430000000,36,360000000,21,210000000,0,0,0,0,31,44,62,6,4,66,20,95,44,69,6,20,23
5,aMrzH,1,2,63,630000000,14,140000000,12,120000000,11,110000000,0,0,78,12,91,15,23,87,86,19,45,66,98,51,30
6,sBBwW,2,2,67,670000000,33,330000000,0,0,0,0,0,0,18,83,55,39,93,57,27,79,98,4,8,79,57
7,OEURR,2,2,43,430000000,37,370000000,20,200000000,0,0,0,0,53,29,87,44,90,17,59,74,80,92,78,97,1
8,bgarw,1,1,58,580000000,38,380000000,3,30000000,1,10000000,0,0,21,69,54,73,58,40,44,61,65,6,38,58,25
9,yADlz,4,1,59,590000000,40,400000000,1,10000000,0,0,0,0,7,70,68,53,91,0,89,65,61,92,83,7,84
10,TUGbK,3,1,32,320000000,29,290000000,25,250000000,14,140000000,0,0,98,68,48,2,61,61,41,40,4,72,40,76,56
11,oBOAt,2,3,48,480000000,26,260000000,20,200000000,6,60000000,0,0,4,43,92,87,50,86,95,79,35,55,1,97,98
12,tpjku,4,1,52,520000000,34,340000000,10,100000000,4,40000000,0,0,1,38,39,83,30,27,52,50,4,20,8,46,95
13,qjXws,4,1,39,390000000,30,300000000,20,200000000,11,110000000,0,0,100,15,92,82,41,68,58,74,82,32,74,56,31
14,hrEbe,2,3,55,550000000,36,360000000,9,90000000,0,0,0,0,55,97,33,20,12,31,69,6,41,94,28,30,97
15,HFiPY,3,3,66,660000000,31,310000000,3,30000000,0,0,0,0,31,94,75,47,78,14,28,27,44,13,18,6,49
16,uzyDg,3,2,61,610000000,24,240000000,14,140000000,1,10000000,0,0,48,18,58,91,56,48,66,36,46,59,59,22,63
17,WiRJk,2,1,52,520000000,31,310000000,13,130000000,4,40000000,0,0,35,52,50,87,95,42,6,29,38,97,69,62,70
18,oUtfr,3,1,35,350000000,24,240000000,21,210000000,13,130000000,7,70000000,99,70,13,57,71,46,65,96,48,94,18,90,9
19,Qocgt,1,2,35,350000000,35,350000000,30,300000000,0,0,0,0,60,41,94,13,56,54,27,71,67,57,92,76,19
20,kwzzA,4,3,50,500000000,21,210000000,16,160000000,8,80000000,5,50000000,50,87,2,66,53,50,36,66,31,1,10,0,35
21,htSly,1,2,34,340000000,32,320000000,25,250000000,9,90000000,0,0,40,64,12,90,97,62,55,32,73,3,95,59,38
22,dPYTb,3,3,47,470000000,42,420000000,8,80000000,3,30000000,0,0,10,72,0,54,76,62,46,5,4,17,99,13,70
23,OTcmH,4,1,31,310000000,28,280000000,25,250000000,16,160000000,0,0,1,29,1,93,11,99,34,67,41,27,8,89,42
24,BugIB,2,2,43,430000000,26,260000000,25,250000000,6,60000000,0,0,63,49,71,7,29,0,63,33,37,32,76,25,63
25,rqJFl,3,3,62,620000000,25,250000000,13,130000000,0,0,0,0,68,53,10,99,78,17,46,87,57,59,52,3,18
26,ElEAS,1,1,69,690000000,21,210000000,10,100000000,0,0,0,0,74,99,48,78,83,69,57,74,78,55,44,94,31
27,rHFDl,2,1,60,600000000,21,210000000,19,190000000,0,0,0,0,52,15,49,26,65,34,27,8,83,25,89,96,11
28,FdcKA,1,1,46,460000000,29,290000000,25,250000000,0,0,0,0,21,86,2,21,5,22,28,96,100,30,80,14,66
29,qhnrm,2,1,60,600000000,39,390000000,1,10000000,0,0,0,0,62,38,100,79,1,83,13,24,23,70,70,41,92
30,XCXQL,2,3,39,390000000,26,260000000,25,250000000,10,100000000,0,0,93,70,31,96,14,44,17,4,68,29,88,88,7
31,taEJm,1,2,44,440000000,30,300000000,12,120000000,9,90000000,5,50000000,26,90,88,50,81,16,60,86,47,28,20,78,76
32,PtWlm,2,2,48,480000000,27,270000000,25,250000000,0,0,0,0,40,16,37,28,15,67,26,82,75,4,73,54,85
33,CvptI,2,2,51,510000000,49,490000000,0,0,0,0,0,0,15,58,13,10,41,80,27,76,68,97,51,38,67
34,iDasy,3,2,37,370000000,35,350000000,16,160000000,12,120000000,0,0,47,54,5,74,51,53,70,86,26,24,24,11,51
35,rNPAL,3,2,36,360000000,35,350000000,16,160000000,13,130000000,0,0,39,73,17,97,14,6,49,3,33,37,9,60,41
36,PQJUd,1,1,54,540000000,46,460000000,0,0,0,0,0,0,45,16,49,54,7,48,28,73,46,38,61,13,81
37,psCVa,4,1,49,490000000,32,320000000,19,190000000,0,0,0,0,26,96,31,92,77,49,50,35,7,48,100,37,58
38,WGIeO,2,1,47,470000000,27,270000000,20,200000000,6,60000000,0,0,4,45,59,80,2,49,91,77,45,60,10,33,51
39,aDTed,4,1,42,420000000,36,360000000,12,120000000,6,60000000,4,40000000,0,18,45,95,3,11,12,58,52,72,96,30,5
40,Fzugz,3,2,45,450000000,38,380000000,17,170000000,0,0,0,0,71,30,89,86,42,25,4,88,92,4,48,43,27
41,zknkP,4,1,58,580000000,30,300000000,12,120000000,0,0,0,0,13,67,98,29,64,3,31,53,71,3,61,73,76
42,QUzmu,3,3,49,490000000,46,460000000,5,50000000,0,0,0,0,28,63,24,75,17,65,55,94,79,60,50,48,75
43,jFWJn,3,2,70,700000000,18,180000000,11,110000000,1,10000000,0,0,93,62,27,63,3,50,32,90,47,84,27,52,32
44,IvJpP,4,1,52,520000000,47,470000000,1,10000000,0,0,0,0,26,70,26,83,22,86,65,63,65,92,82,43,86
45,ghqOv,1,1,35,350000000,33,330000000,30,300000000,2,20000000,0,0,93,24,24,33,13,71,65,6,82,70,47,96,14
46,wVCVx,1,1,30,300000000,30,300000000,29,290000000,6,60000000,5,50000000,0,91,72,7,36,66,73,83,47,73,60,31,68
47,hlVpj,4,1,47,470000000,32,320000000,15,150000000,6,60000000,0,0,13,31,42,100,95,91,83,39,71,63,72,91,78
48,SbflV,4,3,80,800000000,17,170000000,3,30000000,0,0,0,0,20,43,39,8,75,64,68,69,90,90,39,72,48
49,sOwrD,2,1,37,370000000,25,250000000,20,200000000,17,170000000,1,10000000,61,99,90,26,51,85,13,21,45,42,82,37,18
50,BbvFB,3,1,72,720000000,28,280000000,0,0,0,0,0,0,23,59,20,82,16,8,100,49,69,86,15,18,69
51,QTbek,4,3,33,330000000,22,220000000,22,220000000,21,210000000,2,20000000,51,76,26,31,35,74,11,78,80,66,60,83,7
52,lhVnS,1,3,68,680000000,31,310000000,1,10000000,0,0,0,0,68,60,21,16,16,20,75,65,0,23,34,67,7
53,zfyNI,4,1,40,400000000,22,220000000,21,210000000,17,170000000,0,0,14,68,76,52,28,2,55,10,66,74,5,84,89
54,EFtrE,1,1,52,520000000,44,440000000,4,40000000,0,0,0,0,4,31,13,20,36,94,82,99,88,19,25,14,16
55,Sutnc,3,3,48,480000000,23,230000000,22,220000000,4,40000000,3,30000000,10,37,18,33,39,59,3,90,18,15,1,45,54
56,stlcl,4,2,44,440000000,42,420000000,14,140000000,0,0,0,0,82,61,10,52,37,9,23,73,84,1,16,94,26
57,LexFA,1,3,46,460000000,43,430000000,11,110000000,0,0,0,0,1,22,69,82,44,53,21,2,38,100,22,82,68
58,smuci,3,2,59,590000000,39,390000000,2,20000000,0,0,0,0,20,34,62,86,48,93,42,38,22,1,29,36,42
59,xsKyk,2,2,46,460000000,29,290000000,25,250000000,0,0,0,0,48,33,74,78,21,11,59,80,54,64,23,11,4
60,fAPLg,4,3,59,590000000,38,380000000,3,30000000,0,0,0,0,15,8,35,85,59,95,43,64,81,3,10,51,10
61,eTTqA,3,2,47,470000000,46,460000000,7,70000000,0,0,0,0,87,0,50,66,75,98,26,21,95,51,62,3,94
62,yxsKz,2,2,47,470000000,34,340000000,19,190000000,0,0,0,0,88,74,44,29,18,76,14,9,76,53,99,36,3
63,ibJjj,4,3,51,510000000,39,390000000,9,90000000,1,10000000,0,0,29,72,67,18,62,11,91,27,77,43,43,15,14
64,tcFFB,1,1,38,380000000,32,320000000,18,180000000,12,120000000,0,0,11,45,39,11,1,20,83,88,5,62,70,19,25
